10
0.426694 0.809450 0.882230 0.589789 0.453187 0.065369 0.734029 0.352019 0.551563 0.272783 
0.188713 1.340456 0.458387 1.237846 1.133557 0.367852 0.667187 0.815498 0.911435 0.701764 
0.134758 0.969580 0.656744 1.134810 0.949079 1.220654 0.833723 0.711255 1.039654 0.670870 
0.340454 1.410243 0.889809 1.926005 1.804315 1.687718 1.940012 1.813174 1.728818 1.402486 
0.153015 0.982141 0.568503 1.048685 0.996663 1.767274 1.697033 1.379504 1.884472 1.285037 
0.398876 1.365578 0.997687 1.723443 1.664327 2.289277 3.475662 2.256724 3.124148 2.435467 
0.108203 0.782158 0.264702 1.303374 1.396874 2.047061 3.360043 2.774654 2.943518 3.103598 
0.272115 0.884019 0.777182 1.261997 1.182539 1.793561 2.621263 2.107684 2.738620 2.425899 
0.046451 0.369521 0.118893 0.655810 0.682644 0.835350 1.680507 1.628927 1.830334 2.455155 
0.326644 0.994227 0.821082 0.948538 0.852340 1.194786 2.179966 1.271296 2.331355 2.265097 
