32
0.056336 0.423958 0.412904 0.903271 0.998076 0.548007 0.119222 0.628299 0.881197 0.205566 0.819180 0.350785 0.675390 0.616620 0.300227 0.148437 0.582335 0.469442 0.851749 0.064252 0.393043 0.950024 0.544004 0.979412 0.465972 0.960484 0.329303 0.847618 0.243073 0.582893 0.839923 0.581997 
0.022298 0.709783 0.777693 1.062098 0.739396 0.841065 0.383957 0.497226 0.452957 0.648185 0.950899 0.538778 1.120944 1.118567 0.164285 1.022135 0.348612 1.103621 1.007469 1.012379 0.722150 1.169968 1.204175 1.116406 0.287484 0.886277 0.741432 1.131981 0.731427 0.874948 0.603505 0.261383 
0.049720 0.380442 0.473166 1.064857 0.949787 0.563012 0.458729 1.490379 1.733920 0.202678 0.877782 1.261813 1.160938 1.411384 0.897752 0.582076 1.428575 0.498169 0.822037 0.334304 1.167982 1.249936 0.873351 1.689479 1.200876 0.961256 0.620344 1.561169 0.505737 1.436406 1.069846 0.680436 
0.052171 0.624079 0.688005 2.238948 1.598217 1.580325 1.327143 1.539590 2.057551 0.510248 1.490893 1.244487 2.155009 1.343610 1.351891 1.578134 1.086009 1.705601 1.209754 1.516194 1.202886 1.880043 1.827191 1.604498 1.408895 1.212622 1.545656 2.348909 1.592917 1.372172 1.080027 1.524820 
0.044005 0.475712 0.538076 1.163968 1.283010 1.541945 0.499813 1.727446 2.216631 0.809229 1.168276 1.289186 1.463106 1.442548 0.925876 1.359852 1.075830 1.010775 1.763390 1.284580 1.776341 1.875730 1.109695 1.382220 1.038289 1.257694 1.219297 2.289032 1.333450 1.245003 0.933789 1.148105 
0.033507 0.508928 0.627338 1.195854 0.938636 1.775686 1.180056 1.564179 2.613978 1.480292 1.395715 2.187639 2.446604 1.790778 1.558853 1.268795 1.272663 1.686605 1.120808 1.273892 1.726066 2.259723 1.539110 2.515071 1.939151 1.138325 1.717071 2.690301 1.279521 2.299635 1.621332 1.623301 
0.012229 0.130962 0.227622 1.097397 0.802088 1.593365 2.110597 1.837244 2.950123 0.897991 1.545987 2.313428 2.712270 1.461194 2.219652 1.775662 1.905823 1.275306 0.998171 1.594024 2.392539 2.425496 1.501389 1.982018 1.794992 0.872419 2.294440 2.715384 2.405666 2.329474 1.560459 1.641361 
0.014486 0.424880 0.464653 1.146023 0.833815 1.669982 1.497418 1.172905 2.265994 2.072293 1.525052 1.865894 2.328819 1.766948 1.883972 1.620000 1.289431 2.200786 1.455225 2.346765 1.774340 2.722525 2.106354 1.622055 1.899112 1.279742 2.805033 2.222805 2.010473 2.148813 1.235041 1.778638 
0.017960 0.598034 0.661993 0.979262 0.954896 1.737909 1.026278 1.352240 2.529151 2.339680 2.246212 1.817168 2.262201 1.917385 2.165497 2.118909 2.000243 2.040017 2.488505 3.031068 2.470176 2.746536 2.260405 2.445644 1.818705 2.202352 3.019951 3.014041 2.866234 2.583007 2.019005 1.624078 
0.007897 0.081284 0.127211 0.650314 0.426689 1.142360 1.362341 1.144151 2.332211 2.235795 1.718798 2.478533 2.377483 1.834455 2.430980 1.315720 1.762463 2.611928 1.161618 1.991854 1.960406 2.924577 1.775981 2.045779 2.433387 1.233866 2.463967 2.067723 2.069373 3.031433 1.793587 1.883044 
